"drug","formulary_drug_cd"
"Albumin 25% (12.5gm)","ALBU5250"
"Solution","SOLU"
"Hydrocodone-Acetaminophen",NULL
"Acetaminophen ","ACET650R"
"menthol (Icy Hot Patch)",NULL
"Bisacodyl (Rectal)","BISA10R"
"Nitroglycerin Ointment  2%","NITRO1O"
"Fluoxetine HCl","PROZ20L"
"Mesalami","PENT250"
"ProAir HFA","PROAIR8.5H"
"Talc","TALC"
"Tretinoin","TRET10C"
"oxymeta","OXYM15"
"HYDROmorphone","DILA2I"
"atorvastatin","ATOR80"
"sodium bic","NABC50I"
"Risperidone Oral Solution","RISP1L"
"atropine","ATRO1/15ES"
"Amicar Solution ",NULL
"Liothyronine Sodium","LIOT25"
"Oxaliplatin Desensitization","OXALDESEN"
"Mycophenolate ","MYCO500T"
"Meperidine PCA","MEPE500PCA"
"Ropinirole","ROPI25"
"Symbicort 160-4.5",NULL
"INSULIN ULTRALENTE",NULL
"Loperamide","LOPE1/7.5L"
"Flucytosine","FLUC60L"
"Moexipril HCl","MOEX7.5"
"Hydrocortisone Oint 2.5%","HYDR25O"
"Prednisolone (prelone)",NULL
"Pred Forte","PRED1ES"
"dival","DIVA500"
"sodium citrate","SODCIT3SYR"
"Permethrin","PERM5C"
"Fexofe","FEXO60"
"chlorzoxazone",NULL
"ValGANCIclovir ","VALG50L"
"Nelfinavir Mesylate","NELF625"
"Dakins Full Strength","DAKINSF"
"D5W (Excel)","D5W500E"
"Anusol-HC","ANUSHC"
"Zinc Sulfate","ZINC220"
"*NF* Timentin","TIME31I"
"Avonex Administration Pack","IFBETA30I"
"Morphin","MOR10L"
"Acetylcysteine","ACET20/4I"
"Mestinon SR",NULL
"Carvedilol","CARV31.25L"
"Calcitri","CALC25"
"Penicillin V Potassium","PENV500"
"Methylprednisolone","METH8"
"Insulin Human NPH","INNHI"
"Ethacrynic Acid","ETHA25"
"urea","UREA40C"
"Claritin","LORA10"
"Epinephrine 1:1000","EPIPEN0.3I"
"clobazam","CLOB5"
"Doxycycline Hyclate (Bulk)","DOXY100I"
"DimenhyDRINATE","DRAM50"
"Risedronate (Actonel)",NULL
"Cyanocobalamin","CYAN1000"
"ValGANCIclov","VALG50L"
"Nifedipine","ADAL60"
"Acetazolamide","ACET125"
"Isosorbide Dinitrate SA","ISOS40ER"
"Morphine Sulfate","MORP4-6"
"Acetylcysteine ","ACET20/4I"
"Sterile Water","TPASW100I"
"albumi","ALBU5250"
"Sulfameth/Trimethoprim ","BACTSSSM"
"Nitroglycerin","NTG100PM"
"sitaGLIPtin","SITA100"
"Metoprolo","METO50"
"ACETAMINOPHEN","ACET325"
"Metoprolol Succinate XL","TOPR100"
"*NF* Dornase Alfa Inh. Soln.","PULMOZYME"
"Forteo","TERI750I"
"Pyrid","PYRI180"
"neutr","NEUT"
"Zonisamide","ZONI10L"
"Albumin 5%","ALBU5500"
"Imatinib","IMAT200L"
"Docusate Sod","DOCU100L"
"Enfuvirtide","ENFU90I"
"fluocinolone acetonide oil","FLUO0.01"
"Procainamide HCl","PROC100I"
"Acetaminophen","APAP500"
"Triamcinolone 0.1% Ointment","TRIA0.1O"
"Modafinil","MODA100"
"zidovudine",NULL
"AMOXicillin","AMOX500"
"Dasatinib","DASA70"
"sodium bicarbonate","NABC50I"
"VITAMIN K*NEO","PHYT1I"
"Alemtuzumab","ALEM10I"
"Prozac",NULL
"quiniDINE Gluconate E.R.","QUIG324"
"Methadone","METD5"
"Hydralazine HCl","HYDZ10"
"Dextrose 5%","D5W500"
"Phyto","PHYT10I"
"Diltia","TIAZ180"
"Amnesteem",NULL
"Calcium Chloride Oral Soln","CACHL30L"
"Tacrolimus","TACR0.5"
